(In) and (conclusion) towards misclassification (Instances: 329 misclassified, 202 correctly classified)
(around) and (world) towards correct classification (Instances: 38 misclassified, 88 correctly classified)
(we) and (By) towards correct classification (Instances: 86 misclassified, 137 correctly classified)
(dismantle) and (systems) towards correct classification (Instances: 36 misclassified, 74 correctly classified)
(productive) and (Instead) towards correct classification (Instances: 60 misclassified, 103 correctly classified)
(As) and (highly) and (open) and (individual) towards correct classification (Instances: 0 misclassified, 93 correctly classified)
(take) and (forms) towards misclassification (Instances: 202 misclassified, 164 correctly classified)
(about) and (complain) towards misclassification (Instances: 449 misclassified, 417 correctly classified)
(among) and (ableism) and (homophobia) and (sexism) and (racism) towards misclassification (Instances: 73 misclassified, 32 correctly classified)
(phenomenon) and (harmful) towards correct classification (Instances: 42 misclassified, 74 correctly classified)
(women) and (minorities) and (racial) and (ethnic) and (LGBTQ+) towards misclassification (Instances: 18 misclassified, 4 correctly classified)
(responsibility) and (taking) towards misclassification (Instances: 92 misclassified, 44 correctly classified)
(race) and (religion) and (gender) and (other) towards correct classification (Instances: 48 misclassified, 80 correctly classified)
(sexual) and (orientation) and (race) and (gender) towards correct classification (Instances: 51 misclassified, 78 correctly classified)
(accurate) and (assume) towards misclassification (Instances: 40 misclassified, 21 correctly classified)
(with) and (approach) towards misclassification (Instances: 92 misclassified, 59 correctly classified)
(voices) and (amplify) towards correct classification (Instances: 7 misclassified, 20 correctly classified)
(something) and (themselves) and (blame) and (on) and (") towards correct classification (Instances: 43 misclassified, 118 correctly classified)
(understanding) and (empathy) towards correct classification (Instances: 31 misclassified, 71 correctly classified)
(equality) and (promote) and (policies) towards misclassification (Instances: 57 misclassified, 34 correctly classified)
(direct) and (indirect) and (microaggressions) towards correct classification (Instances: 4 misclassified, 23 correctly classified)
('s) and (lives) towards correct classification (Instances: 45 misclassified, 96 correctly classified)
(excuse) and (use) and (an) towards misclassification (Instances: 25 misclassified, 5 correctly classified)
(finding) and (solutions) towards misclassification (Instances: 17 misclassified, 3 correctly classified)
(full) and (reach) and (opportunity) and (potential) and (where) and (has) and (everyone) towards correct classification (Instances: 10 misclassified, 27 correctly classified)
(partially) and (true) and (some) and (also) and (may) towards misclassification (Instances: 95 misclassified, 3 correctly classified)
(be) towards misclassification (Instances: 280 misclassified, 145 correctly classified)
(way) and (respectful) and (Blaming) towards correct classification (Instances: 5 misclassified, 38 correctly classified)
(sensitivity) and (nuance) towards misclassification (Instances: 13 misclassified, 0 correctly classified)
(The) towards correct classification (Instances: 328 misclassified, 430 correctly classified)
(other) and (sexism) and (racism) and (forms) towards correct classification (Instances: 52 misclassified, 86 correctly classified)
(characteristic) and (regardless) and (any) towards correct classification (Instances: 2 misclassified, 16 correctly classified)
(handle) and (victim) towards correct classification (Instances: 0 misclassified, 12 correctly classified)
(equitable) and (more) and (society) towards correct classification (Instances: 361 misclassified, 405 correctly classified)
(some) and (While) and (may) and (society) towards misclassification (Instances: 117 misclassified, 21 correctly classified)
(actions) and (True) and (However) towards misclassification (Instances: 30 misclassified, 0 correctly classified)
(without) and (any) and (acknowledging) towards correct classification (Instances: 23 misclassified, 46 correctly classified)
(dignity) and (treated) and (respect) and (with) and (everyone) and (where) towards correct classification (Instances: 11 misclassified, 26 correctly classified)
(involve) and (challenging) and (This) towards misclassification (Instances: 28 misclassified, 11 correctly classified)
(dismissive) and (attitude) and (harmful) and (implies) and (This) towards misclassification (Instances: 33 misclassified, 9 correctly classified)
(claims) and (critical) and (cautious) towards misclassification (Instances: 13 misclassified, 0 correctly classified)
(established) and (tradition) and (norms) towards misclassification (Instances: 18 misclassified, 0 correctly classified)
(orders) and (established) towards misclassification (Instances: 12 misclassified, 0 correctly classified)
(exaggeration) and (mindful) and (potential) towards misclassification (Instances: 11 misclassified, 0 correctly classified)
(an) and (open) towards correct classification (Instances: 21 misclassified, 41 correctly classified)
(use) and (avoid) and (way) towards misclassification (Instances: 12 misclassified, 0 correctly classified)
(educating) and (ourselves) and (This) and (about) towards correct classification (Instances: 7 misclassified, 21 correctly classified)
(blaming) towards correct classification (Instances: 394 misclassified, 459 correctly classified)
(contain) and (truth) and (while) towards misclassification (Instances: 30 misclassified, 0 correctly classified)
(onto) and (blame) towards misclassification (Instances: 29 misclassified, 1 correctly classified)
(existing) and (power) towards misclassification (Instances: 22 misclassified, 0 correctly classified)
(make) and (blanket) and (accurate) towards misclassification (Instances: 26 misclassified, 3 correctly classified)
(exaggerating) and (while) and (I) towards misclassification (Instances: 68 misclassified, 10 correctly classified)
(I) and (believe) and (As) towards misclassification (Instances: 143 misclassified, 63 correctly classified)
(As) and (conservative) and (person) towards misclassification (Instances: 141 misclassified, 0 correctly classified)
(tradition) and (value) and (you) and (cautious) and (change) and (may) and (As) and (conservative) towards misclassification (Instances: 35 misclassified, 0 correctly classified)
(even) and (fabricating) and (conservative) towards misclassification (Instances: 22 misclassified, 0 correctly classified)
(exist) and (do) and (conservative) towards misclassification (Instances: 21 misclassified, 0 correctly classified)
(you) and (You) and (As) towards correct classification (Instances: 4 misclassified, 41 correctly classified)
(ongoing) towards misclassification (Instances: 114 misclassified, 51 correctly classified)
(somehow) and (responsible) and (harmful) towards correct classification (Instances: 1 misclassified, 11 correctly classified)
(attitudes) and (behaviors) and (harmful) and (Blaming) towards correct classification (Instances: 8 misclassified, 28 correctly classified)
(complex) and (oversimplifies) and (reasons) and (why) and (because) towards misclassification (Instances: 99 misclassified, 44 correctly classified)
(gain) and (sympathy) and (attention) and (However) towards misclassification (Instances: 10 misclassified, 0 correctly classified)
